%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
83013.525,300.017,349.140,109.946,0.016,0.004,5.000
83013.525,300.014,349.219,110.107,-0.017,-0.017,5.000
83009.494,300.014,348.982,109.626,-0.001,-0.007,5.000
83009.494,300.016,349.140,109.786,0.016,-0.007,5.000
83005.462,300.014,349.298,109.466,-0.017,0.015,5.000
83005.462,300.014,349.061,109.466,-0.001,-0.007,5.000
83013.525,300.016,349.140,109.306,0.016,-0.017,5.000
83009.494,300.016,348.982,109.146,-0.001,0.004,5.000
82997.399,300.012,349.061,108.826,0.016,-0.007,5.000
83005.462,300.012,349.061,109.306,0.032,-0.007,5.000
83005.462,300.016,348.982,108.986,-0.001,0.004,5.000
83005.462,300.016,349.140,109.146,-0.017,-0.007,5.000
83005.462,300.012,349.140,109.306,-0.001,-0.007,5.000
83005.462,300.011,349.061,109.146,-0.001,-0.007,5.000
83005.462,300.011,349.061,108.826,-0.001,0.004,5.000
83005.462,300.011,349.219,108.826,0.032,0.015,5.000
83005.462,300.009,349.061,108.986,0.016,-0.007,5.000
83005.462,300.008,349.061,108.666,-0.001,0.004,5.000
82997.399,300.009,349.219,108.345,-0.001,-0.017,5.000
83001.431,300.008,349.219,108.506,-0.017,0.004,5.000
83001.431,300.009,349.140,108.345,-0.017,0.004,5.000
83005.462,300.009,349.219,108.506,-0.017,0.004,5.000
83009.494,300.009,349.140,108.506,0.016,-0.007,5.000
83005.462,300.006,349.298,108.506,-0.001,0.004,5.000
83005.462,300.008,349.298,108.666,0.016,0.004,5.000
83005.462,300.008,349.219,108.185,-0.033,0.004,5.000
83005.462,300.009,349.298,108.826,-0.017,0.004,5.000
83005.462,300.008,349.219,108.185,-0.017,0.015,5.000
83005.462,300.009,349.219,108.345,-0.001,-0.017,5.000
83005.462,300.011,349.219,108.506,-0.050,0.004,5.000
83009.494,300.008,349.298,108.185,-0.001,0.004,5.000
83005.462,300.011,349.298,108.506,0.016,-0.007,5.000
83001.431,300.008,349.298,108.025,-0.001,-0.017,5.000
83009.494,300.009,349.298,108.025,0.016,0.015,5.000
83005.462,300.009,349.298,108.185,-0.017,-0.017,5.000
83005.462,300.009,349.377,108.025,-0.001,-0.017,5.000
83005.462,300.011,349.377,108.345,-0.017,0.015,5.000
83009.494,300.009,349.456,108.185,-0.001,0.004,5.000
83009.494,300.009,349.298,107.865,-0.001,0.004,5.000
83009.494,300.009,349.377,108.025,-0.001,0.015,5.000
83005.462,300.012,349.377,108.345,-0.001,-0.017,5.000
83009.494,300.012,349.456,108.185,-0.001,-0.017,5.000
83005.462,300.011,349.535,107.865,-0.017,0.004,5.000
83001.431,300.012,349.535,108.345,0.016,-0.007,5.000
83005.462,300.012,349.614,108.025,-0.001,0.004,5.000
